"Alpha","Iteration","BestLambda","FitCode","LogLik"
1,1,0.0113496726515367,8,-4133.8762560328
1,2,0.0017099759466767,8,-4872.42060747712
1,3,0.0017099759466767,8,-4639.21620359362
1,4,0.000663732883120058,8,-4645.18138237852
1,5,0.000663732883120058,8,-4486.93211545875
1,6,0.0017099759466767,8,-4119.97569699101
1,7,0.00440541340134864,8,-4634.28084936301
1,8,0.0113496726515367,8,-4546.74550853643
1,9,0.00440541340134864,8,-4400.16066347384
1,10,0.00440541340134864,8,-4280.95157139163
1,11,1e-04,8,-3765.89804237247
1,12,0.0017099759466767,8,-4815.54552722526
1,13,0.00440541340134864,8,-4887.5387077306
1,14,0.00440541340134864,8,-3994.04304789581
1,15,0.00440541340134864,8,-4424.96765044296
1,16,0.000663732883120058,8,-4493.33045179768
1,17,0.0017099759466767,8,-4805.65903611716
1,18,0.0113496726515367,8,-5059.64501405746
1,19,0.00440541340134864,8,-4750.89031109975
1,20,0.00440541340134864,8,-3797.73245745132
1,21,0.0017099759466767,8,-4435.88829938617
1,22,0.0017099759466767,8,-4469.93413764719
1,23,0.00440541340134864,8,-4217.45075981406
1,24,0.0017099759466767,8,-4366.19793425341
1,25,0.000663732883120058,8,-4033.4620839972
1,26,0.00440541340134864,8,-4506.23218947056
1,27,0.00440541340134864,8,-4422.78120552096
1,28,1e-04,8,-4908.78806276177
1,29,0.00440541340134864,8,-4503.56564921165
1,30,0.000663732883120058,8,-5069.23036618989
1,31,0.00440541340134864,8,-4399.22161705797
1,32,0.000663732883120058,8,-4375.68435211297
1,33,0.000257630138594082,8,-3968.81793889517
1,34,0.0017099759466767,8,-4118.07417342157
1,35,0.00440541340134864,8,-4586.54526656973
1,36,0.00440541340134864,8,-3930.48551835276
1,37,1e-04,8,-4956.24570364429
1,38,0.00440541340134864,8,-4294.36911205468
1,39,0.00440541340134864,8,-3977.3999572592
1,40,0.0017099759466767,8,-4199.76382643739
1,41,0.000663732883120058,8,-4291.86186223979
1,42,0.000663732883120058,8,-4187.80009272721
1,43,0.00440541340134864,8,-4156.67394074654
1,44,0.000663732883120058,8,-3949.36652308551
1,45,0.0017099759466767,8,-4153.36129131025
1,46,0.00440541340134864,8,-4445.40201322348
1,47,1e-04,8,-3837.80858789687
1,48,0.0017099759466767,8,-4114.9313983495
1,49,0.00440541340134864,8,-4820.17297005679
1,50,1e-04,8,-3891.71960215575
1,51,0.0017099759466767,8,-4397.95126945792
1,52,0.00440541340134864,8,-4579.76841875119
1,53,0.0017099759466767,8,-4363.25635149831
1,54,0.00440541340134864,8,-4675.06730080886
1,55,0.00440541340134864,8,-4737.43138369277
1,56,0.0017099759466767,8,-3618.23414133577
1,57,0.000663732883120058,8,-3808.2386230245
1,58,0.0017099759466767,8,-4455.46191115383
1,59,0.0017099759466767,8,-4316.11786638236
1,60,0.000257630138594082,8,-4911.68992845738
1,61,0.0017099759466767,8,-4846.90573449085
1,62,1e-04,8,-4504.26145945853
1,63,0.000257630138594082,8,-4439.37991924621
1,64,0.00440541340134864,8,-4286.46665953007
1,65,0.00440541340134864,8,-4013.47518656263
1,66,0.00440541340134864,8,-4318.08864533516
1,67,0.00440541340134864,8,-4709.15028007512
1,68,0.00440541340134864,8,-4784.14878898124
1,69,0.000257630138594082,8,-4207.58114390239
1,70,0.00440541340134864,8,-4441.65508086963
1,71,0.00440541340134864,8,-4801.06672634467
1,72,0.000663732883120058,8,-4376.34056412567
1,73,0.0113496726515367,8,-4403.58884696005
1,74,1e-04,8,-4369.23717740674
1,75,0.00440541340134864,8,-4324.60670963207
1,76,0.0017099759466767,8,-3953.43667680656
1,77,0.000663732883120058,8,-4669.30223284524
1,78,1e-04,8,-5070.65389387683
1,79,0.00440541340134864,8,-4298.71167403072
1,80,0.0017099759466767,8,-4828.15541104896
1,81,0.00440541340134864,8,-4272.35453721689
1,82,0.000663732883120058,8,-4393.37489445467
1,83,0.000257630138594082,8,-4239.56339314598
1,84,0.000257630138594082,8,-4802.79312272885
1,85,0.0017099759466767,8,-4558.5007365268
1,86,0.000257630138594082,8,-4187.24618706778
1,87,0.000663732883120058,8,-4561.8695153462
1,88,0.0017099759466767,8,-4449.93535335192
1,89,0.0017099759466767,8,-4840.24631891779
1,90,0.000663732883120058,8,-4362.53965752312
1,91,0.0017099759466767,8,-4839.45389139425
1,92,0.000257630138594082,8,-4560.42168811142
1,93,0.0017099759466767,8,-4860.67627687221
1,94,0.00440541340134864,8,-4625.97771010997
1,95,0.0017099759466767,8,-4961.96021702096
1,96,0.000663732883120058,8,-4523.33458025724
1,97,0.000663732883120058,8,-3765.44033931631
1,98,0.000663732883120058,8,-3846.84531327041
1,99,0.0017099759466767,8,-3882.15228795292
1,100,0.00440541340134864,8,-4342.46999805258
